,date,lat,long,daysSince1985,economic_loss,total_affected,duration,event_type,CAMEOCode,Index,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
3492,"Saturday, February 25, 2006",11.45764637,78.19229126,7725,20305.18352,,1,-1,,4125,,,1,20305.18352,,,,1,0,,,,
3493,"Monday, February 27, 2006",11.29443645,76.93977356,7727,20305.18352,,1,-1,,4133,,,1,20305.18352,,,,1,0,,,,
3494,"Tuesday, February 28, 2006",13.33226776,80.19892883,7728,20305.18352,,1,-1,,4140,,,1,20305.18352,,,,24,8,0.0,0.0,,8.0
3495,"Tuesday, February 28, 2006",13.40869522,80.12478638,7728,20305.18352,,1,-1,,4141,,,1,20305.18352,,,,24,8,0.0,0.0,,8.0
3496,"Wednesday, March 01, 2006",9.767000198,78.73300171,7729,20305.18352,,1,-1,,4146,,,1,20305.18352,,,,25,8,0.0,0.0,,5.0
3497,"Saturday, March 04, 2006",11.05111,77.62059,7732,20305.18352,,1,-1,,4158,,,1,20305.18352,,,,1,0,,,,
3498,"Sunday, March 05, 2006",10.77317619,79.84144592,7733,20305.18352,,1,-1,,4164,,,1,20305.18352,,,,1,0,,,,
3499,"Wednesday, March 08, 2006",10.93360043,78.42099762,7736,20305.18352,,1,-1,,4173,,,1,20305.18352,,,,1,0,,,,
3500,"Saturday, March 11, 2006",13.17908287,79.61205292,7739,20305.18352,,1,-1,,4179,,,1,20305.18352,,,,23,7,0.0,0.0,,4.0
3501,"Wednesday, March 15, 2006",11.31409645,78.0851059,7743,20305.18352,,1,-1,,4193,,,1,20305.18352,,,,1,0,,,,
3502,"Friday, March 17, 2006",11.2341,78.8805,7745,20305.18352,,1,-1,,4201,,,1,20305.18352,,,,1,0,,,,
3503,"Saturday, March 18, 2006",12.61498547,79.75827789,7746,20305.18352,,1,-1,,4209,,,1,20305.18352,,,,22,6,0.0,0.0,,23.0
3504,"Sunday, March 19, 2006",9.767000198,78.73300171,7747,20305.18352,,1,-1,,4212,,,1,20305.18352,,,,23,6,0.0,0.0,,21.0
3505,"Monday, March 20, 2006",11.45764637,78.19229126,7748,20305.18352,,1,-1,,4215,,,1,20305.18352,,,,23,6,0.0,0.0,,21.0
3506,"Monday, March 20, 2006",13.33226776,80.19892883,7748,20305.18352,,1,-1,,4217,,,1,20305.18352,,,,22,6,0.0,0.0,,21.0
3507,"Tuesday, March 21, 2006",10.93360043,78.42099762,7749,20305.18352,,1,-1,,4219,,,1,20305.18352,,,,23,6,0.0,0.0,,19.0
3508,"Wednesday, March 22, 2006",11.45764637,78.19229126,7750,20305.18352,,1,-1,,4222,,,1,20305.18352,,,,23,6,0.0,0.0,,19.0
3509,"Wednesday, March 22, 2006",13.07209206,80.20185852,7750,20305.18352,,1,-1,,4230,,,1,20305.18352,,,,22,6,0.0,0.0,,19.0
3510,"Thursday, March 23, 2006",11.2341,78.8805,7751,20305.18352,,1,-1,,4234,,,1,20305.18352,,,,1,0,,,,
3511,"Friday, March 24, 2006",11.2341,78.8805,7752,20305.18352,,1,-1,,4236,,,1,20305.18352,,,,24,7,0.0,0.0,,16.0
3512,"Sunday, March 26, 2006",13.17908287,79.61205292,7754,20305.18352,,1,-1,,4242,,,1,20305.18352,,,,23,7,0.0,0.0,,15.0
3513,"Sunday, March 26, 2006",11.31409645,78.0851059,7754,20305.18352,,1,-1,,4243,,,1,20305.18352,,,,24,7,0.0,0.0,,14.0
3514,"Tuesday, March 28, 2006",9.767000198,78.73300171,7756,20305.18352,,1,-1,,4248,,,1,20305.18352,,,,1,0,,,,
3515,"Tuesday, March 28, 2006",11.45764637,78.19229126,7756,20305.18352,,1,-1,,4254,,,1,20305.18352,,,,24,6,0.0,0.0,,12.0
3516,"Wednesday, March 29, 2006",13.08019447,80.05047607,7757,20305.18352,,1,-1,,4260,,,1,20305.18352,,,,23,6,0.0,0.0,,12.0
