Unnamed: 0,economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative,Cluster
2926,1356821.37,,1,,,37.0,1356821.37,167.0,,,1,0,,,,,1
2927,1368424.332,,1,,,44.0,1368424.332,131.0,,,1,0,,,,,1
2928,2997190.124,,1,,,131.0,2997190.124,93.0,,,1,0,,,,,1
2929,783199.9357,,1,,,10.0,783199.9357,160.0,,,1,0,,,,,1
2930,292974.7908,,1,,,13.0,292974.7908,8.0,,,1,0,,,,,1
2931,389424.4125,,1,,,19.0,389424.4125,1.0,,,1,0,,,,,1
2932,1198731.013,,1,,,56.0,1198731.013,17.0,,,1,0,,,,,1
2933,403928.115,,1,,,19.0,403928.115,5.0,,,1,0,,,,,1
2934,168968.1343,,1,,,6.0,168968.1343,13.0,,,1,0,,,,,1
2935,169693.3194,,1,,,8.0,169693.3194,2.0,,,1,0,,,,,1
2936,277745.9031,,1,,,11.0,277745.9031,15.0,,,1,0,,,,,1
2937,308928.8635,,1,,,12.0,308928.8635,18.0,,,1,0,,,,,1
2938,362592.5628,,1,,,10.0,362592.5628,44.0,,,1,0,,,,,1
2939,174044.4301,,1,,,5.0,174044.4301,20.0,,,1,0,,,,,1
2940,79045.17869,,1,,,3.0,79045.17869,5.0,,,1,0,,,,,1
2941,163166.6533,,1,,,5.0,163166.6533,17.0,,,1,0,,,,,1
2942,1031938.434,,1,,,16.0,1031938.434,195.0,,,1,0,,,,,1
2943,210303.6864,,1,,,5.0,210303.6864,30.0,,,1,0,,,,,1
2944,190723.688,,1,,,6.0,190723.688,19.0,,,1,0,,,,,1
2945,367668.8587,,1,,,9.0,367668.8587,51.0,,,1,0,,,,,1
2946,367668.8587,,1,,,9.0,367668.8587,51.0,,,1,0,,,,,1
2947,161716.283,,1,,,6.0,161716.283,11.0,,,1,0,,,,,1
2948,1110258.4270000001,,1,,,47.0,1110258.4270000001,43.0,,,1,0,,,,,1
2949,642514.0213,,1,,,17.0,642514.0213,82.0,,,1,0,,,,,1
2950,1871702.8090000001,,1,,,82.0,1871702.8090000001,57.0,,,1,0,,,,,1
2951,226982.9443,,1,,,11.0,226982.9443,1.0,,,1,0,,,,,1
2952,116029.6201,,1,,,5.0,116029.6201,4.0,,,1,0,,,,,1
2953,431485.1497,,1,,,5.0,431485.1497,91.0,,,1,0,,,,,1
2954,738963.6429999999,,1,,,23.0,738963.6429999999,75.0,,,1,0,,,,,1
2955,213204.4269,,1,,,8.0,213204.4269,14.0,,,1,0,,,,,1
2956,532285.8822,,1,,,23.0,532285.8822,18.0,,,1,0,,,,,1
2957,1025411.7679999999,,1,,,28.0,1025411.7679999999,126.0,,,1,0,,,,,1
2958,1025411.7679999999,,1,,,28.0,1025411.7679999999,126.0,,,1,0,,,,,1
2959,1498232.47,,1,,,62.0,1498232.47,66.0,,,1,0,,,,,1
2960,265417.756,,1,,,7.0,265417.756,34.0,,,1,0,,,,,1
2961,342287.3793,,1,,,4.0,342287.3793,72.0,,,1,0,,,,,1
2962,308928.8635,,1,,,12.0,308928.8635,18.0,,,1,0,,,,,1
2963,1735368.006,,1,,,46.0,1735368.006,221.0,,,1,0,,,,,1
2964,312983373.6,,1,,,13402.0,312983373.6,11267.0,,,1,0,,,,,1
2965,340837.00899999996,,1,,,10.0,340837.00899999996,38.0,,,1,0,,,,,1
2966,383622.9315,,1,,,8.0,383622.9315,61.0,,,1,0,,,,,1
2967,986251.7708,,1,,,35.0,986251.7708,76.0,,,75,17,0.0,0.0,,1.0,3
2968,100800.7325,,1,,,3.0,100800.7325,11.0,,,1,0,,,,,1
2969,424233.2985,,1,,,15.0,424233.2985,33.0,,,1,0,,,,,1
2970,383622.9315,,1,,,8.0,383622.9315,61.0,,,1,0,,,,,1
2971,226982.9443,,1,,,11.0,226982.9443,1.0,,,1,0,,,,,1
2972,394500.7083,,1,,,18.0,394500.7083,8.0,,,1,0,,,,,1
