,State,District,Block,latLong
210, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
211, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
212, Tamil Nadu,THIRUVARUR,THIRUVARUR,"[10.76508, 79.63356]"
213, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
214, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
215, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
216, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
217, Tamil Nadu,PERAMBALUR,PERAMBALUR,"[11.2341, 78.8805]"
218, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
219, Tamil Nadu,DHARMAPURI,DHARMAPURI,"[12.125699996948242, 78.154296875]"
220, Tamil Nadu,VILLUPPURAM,ULUNDURPET,"[11.94474, 79.47347]"
221, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
222, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
223, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
224, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
225, Tamil Nadu,COIMBATORE,TIRUPPUR,"[11.20293, 77.33126]"
226, Tamil Nadu,VILLUPPURAM,VILLUPURAM,"[11.94474, 79.47347]"
227, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
228, Tamil Nadu,NAGAPPATTINAM,VEDHARANYAM,"[10.375280380249023, 79.85028076171875]"
229, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
230, Tamil Nadu,THIRUVANNAMALAI,TIRUVANNAMALAI,"[12.235238075256348, 79.078369140625]"
231, Tamil Nadu,ERODE,ERODE,"[10.7221097946167, 77.51921081542969]"
232, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
233, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
234, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
235, Tamil Nadu,ERODE,ERODE,"[10.7221097946167, 77.51921081542969]"
236, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
237, Tamil Nadu,KANCHIPURAM,THAMBARAM,"[12.89161, 80.06687]"
238, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
239, Tamil Nadu,DINDUGAL,DINDIGUL,"[9.921903610229492, 78.12326049804688]"
240, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
241, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
242, Tamil Nadu,KANCHIPURAM,THAMBARAM,"[12.89161, 80.06687]"
243, Tamil Nadu,KARUR,KARUR,"[10.95958, 78.08195]"
244, Tamil Nadu,CHENNAI,CHENNAI,"[13.072092056274414, 80.20185852050781]"
245, Tamil Nadu,TIRUNELVELI,TIRUNELVELI,"[8.80447006225586, 78.14324188232422]"
246, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
247, Tamil Nadu,KANCHIPURAM,KANCHEEPURAM,"[12.870868682861328, 79.70879364013672]"
248, Tamil Nadu,NAMAKKAL,NAMAKKAL,"[11.21878, 78.16798]"
249, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
250, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
251, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
252, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
253, Tamil Nadu,CUDDALORE,CUDDALORE,"[12.233599662780762, 79.0710678100586]"
254, Tamil Nadu,SALEM,SALEM,"[11.65212, 78.15798]"
255, Tamil Nadu,NAMAKKAL,NAMAKKAL,"[11.21878, 78.16798]"
256, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
257, Tamil Nadu,VELLORE,THIRUPPATHUR,"[12.393621444702148, 78.6341552734375]"
258, Tamil Nadu,VELLORE,VANIYAMBADI,"[12.93801, 78.86109]"
259, Tamil Nadu,VELLORE,VELLORE,"[12.921469688415527, 79.13156127929688]"
260, Tamil Nadu,COIMBATORE,VALPARAI,"[10.35949, 76.97245]"
