economic_loss,total_affected,duration,deaths,injured,houses_destroyed,economic_loss_infrastructure,houses_damaged,directly_affected,indirectly_affected,events,significantEvents,aidBeforeProtest,posNegRatio20Days,daysBeforePositive,daysBeforeNegative
91373.32583,,1,,,2,91373.32583,14,,,1,0,,,,
171143.6896,,1,,,2,171143.6896,36,,,1,0,,,,
109502.954,,1,,,2,109502.954,19,,,1,0,,,,
69617.77206,,1,,,2,69617.77206,8,,,1,0,,,,
138510.359,,1,,,2,138510.359,27,,,1,0,,,,
98625.17708,,1,,,2,98625.17708,16,,,1,0,,,,
127632.5821,,1,,,2,127632.5821,24,,,1,0,,,,
65991.84643,,1,,,2,65991.84643,7,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,20,6,0,0,,59
67442.21668,,1,,,1,67442.21668,13,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
31182.9604,,1,,,1,31182.9604,3,,,24,8,0,0,,11
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
67442.21668,,1,,,1,67442.21668,13,,,1,0,,,,
31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
34808.88603,,1,,,1,34808.88603,4,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
60190.36543,,1,,,1,60190.36543,11,,,1,0,,,,
38434.81166,,1,,,1,38434.81166,5,,,1,0,,,,
212479.2418,,1,,,1,212479.2418,53,,,1,0,,,,
56564.4398,,1,,,1,56564.4398,10,,,1,0,,,,
45686.66291,,1,,,1,45686.66291,7,,,1,0,,,,
67442.21668,,1,,,1,67442.21668,13,,,1,0,,,,
143586.6549,,1,,,1,143586.6549,34,,,1,0,,,,
27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
49312.58854,,1,,,1,49312.58854,8,,,1,0,,,,
49312.58854,,1,,,1,49312.58854,8,,,1,0,,,,
27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
52938.51417,,1,,,1,52938.51417,9,,,1,0,,,,
31182.9604,,1,,,1,31182.9604,3,,,1,0,,,,
27557.03477,,1,,,1,27557.03477,2,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
23931.10915,,1,,,1,23931.10915,1,,,1,0,,,,
96449.62171,,1,,,1,96449.62171,21,,,1,0,,,,
89197.77045,,1,,,1,89197.77045,19,,,1,0,,,,
45686.66291,,1,,,1,45686.66291,7,,,1,0,,,,
63816.29105,,1,,,1,63816.29105,12,,,1,0,,,,
42060.73729,,1,,,1,42060.73729,6,,,1,0,,,,
71068.14231,,1,,,1,71068.14231,14,,,1,0,,,,
397401.4488,,1,,,1,397401.4488,104,,,1,0,,,,
56564.4398,,1,,,1,56564.4398,10,,,1,0,,,,
